Date,Open,High,Low,Close,Adj Close,Volume
2023-04-03,208.83999633789062,213.49000549316406,208.1999969482422,213.07000732421875,212.84417724609375,17924600
2023-04-04,213.38999938964844,216.24000549316406,212.5399932861328,214.72000122070312,214.49241638183594,21026400
2023-04-05,214.14999389648438,215.19000244140625,209.94000244140625,211.47999572753906,211.25584411621094,19396600
2023-04-06,209.25,216.94000244140625,208.64999389648438,216.10000610351562,215.87095642089844,26104400
2023-04-10,214.7100067138672,215.66000366210938,210.66000366210938,214.75,214.5223846435547,16106100
2023-04-11,215.47999572753906,216.02000427246094,213.41000366210938,213.85000610351562,213.62335205078125,16710100
2023-04-12,214.83999633789062,216.83999633789062,212.5800018310547,214.0,213.77317810058594,18972200
2023-04-13,215.72999572753906,221.14999389648438,215.69000244140625,220.35000610351562,220.116455078125,23310400
2023-04-14,217.8800048828125,222.11000061035156,217.5500030517578,221.49000549316406,221.2552490234375,21591200
2023-04-17,219.7899932861328,220.97999572753906,217.1300048828125,218.86000061035156,218.62803649902344,15481900
2023-04-18,219.91000366210938,220.44000244140625,216.2100067138672,217.88999938964844,217.6590576171875,12281000
2023-04-19,213.47000122070312,217.3300018310547,212.92999267578125,215.6999969482422,215.47137451171875,15898100
2023-04-20,213.47999572753906,216.75,212.77000427246094,213.07000732421875,212.84417724609375,16475400
2023-04-21,210.2100067138672,213.41000366210938,209.5800018310547,212.88999938964844,212.6643524169922,17717200
2023-04-24,213.67999267578125,213.9199981689453,210.7100067138672,212.7899932861328,212.564453125,15750900
2023-04-25,210.82000732421875,211.25999450683594,207.1300048828125,207.5500030517578,207.33001708984375,19198200
2023-04-26,212.5,214.11000061035156,208.8800048828125,209.39999389648438,209.1780548095703,41992700
2023-04-27,239.88999938964844,241.69000244140625,236.77000427246094,238.55999755859375,238.30714416503906,71196500
2023-04-28,239.00999450683594,240.42999267578125,235.75,240.32000732421875,240.06529235839844,39554000
2023-05-01,238.6199951171875,244.0,236.4600067138672,243.17999267578125,242.9222412109375,29143900
2023-05-02,243.17999267578125,244.9199981689453,238.99000549316406,239.24000549316406,238.98643493652344,24350100
2023-05-03,239.47000122070312,241.75,232.75,237.02999877929688,236.77877807617188,34463900
2023-05-04,236.05999755859375,238.1999969482422,232.92999267578125,233.52000427246094,233.27249145507812,17889400
2023-05-05,232.24000549316406,234.67999267578125,229.85000610351562,232.77999877929688,232.5332794189453,26978900
2023-05-08,231.4199981689453,235.6199951171875,230.27000427246094,233.27000427246094,233.02276611328125,16400500
2023-05-09,231.4600067138672,235.8800048828125,231.0800018310547,233.3699951171875,233.12265014648438,16865600
2023-05-10,236.1699981689453,236.75,230.72000122070312,233.0800018310547,232.8329620361328,19119000
2023-05-11,233.0500030517578,238.2100067138672,232.3000030517578,235.7899932861328,235.5400848388672,20449000
2023-05-12,236.74000549316406,236.9600067138672,231.4499969482422,233.80999755859375,233.5621795654297,16155300
2023-05-15,236.9199981689453,240.25999450683594,235.3300018310547,238.86000061035156,238.60684204101562,20653200
2023-05-16,235.7899932861328,239.63999938964844,235.52000427246094,238.82000732421875,238.56687927246094,18163800
2023-05-17,238.4499969482422,243.83999633789062,238.13999938964844,242.49000549316406,242.2329864501953,21193100
2023-05-18,241.3000030517578,247.08999633789062,241.19000244140625,246.85000610351562,246.58837890625,22943300
2023-05-19,247.47000122070312,248.69000244140625,243.41000366210938,245.63999938964844,245.37965393066406,21599800
2023-05-22,245.41000366210938,253.57000732421875,245.1199951171875,248.32000732421875,248.0568084716797,27738500
2023-05-23,246.80999755859375,251.61000061035156,246.64999389648438,246.74000549316406,246.47848510742188,17748100
2023-05-24,245.27999877929688,249.58999633789062,244.9499969482422,249.2100067138672,248.9458770751953,17724300
2023-05-25,253.39999389648438,255.6199951171875,249.1699981689453,252.69000244140625,252.42218017578125,22371400
2023-05-26,252.92999267578125,262.30999755859375,252.7100067138672,262.0400085449219,261.76226806640625,25727200
2023-05-30,265.25,268.6499938964844,261.2900085449219,262.5199890136719,262.24176025390625,23816500
2023-05-31,260.0,265.0,258.45001220703125,264.7200012207031,264.4394226074219,25473700
2023-06-01,265.8999938964844,274.0,265.8900146484375,272.6099853515625,272.321044921875,25609500
2023-06-02,272.6600036621094,275.3500061035156,271.1199951171875,272.6099853515625,272.321044921875,19405300
2023-06-05,270.29998779296875,275.57000732421875,269.55999755859375,271.3900146484375,271.10235595703125,20742900
2023-06-06,270.1400146484375,276.57000732421875,269.69000244140625,271.1199951171875,270.8326416015625,19419000
2023-06-07,271.6700134277344,274.25,262.79998779296875,263.6000061035156,263.32061767578125,26163600
2023-06-08,260.6199951171875,267.6499938964844,258.8800048828125,264.5799865722656,264.299560546875,20899400
2023-06-09,262.4800109863281,267.95001220703125,261.70001220703125,264.95001220703125,264.669189453125,16938500
2023-06-12,267.1700134277344,271.75,265.3299865722656,271.04998779296875,270.7626953125,15442500
2023-06-13,274.8800048828125,275.7200012207031,269.0899963378906,271.32000732421875,271.0324401855469,16164000
2023-06-14,271.8900146484375,274.989990234375,268.32000732421875,273.3500061035156,273.0602722167969,19175100
2023-06-15,272.29998779296875,283.989990234375,271.4200134277344,281.8299865722656,281.5312805175781,25973500
2023-06-16,284.75,287.8500061035156,280.1300048828125,281.0,280.7021789550781,43102500
2023-06-20,278.7300109863281,284.79998779296875,276.2200012207031,284.3299865722656,284.02862548828125,20701600
2023-06-21,283.5299987792969,284.0,278.3599853515625,281.6400146484375,281.3415222167969,20556200
2023-06-22,279.0799865722656,285.260009765625,277.7900085449219,284.8800048828125,284.57806396484375,17563100
2023-06-23,281.510009765625,289.6700134277344,278.95001220703125,288.7300109863281,288.4239807128906,50988400
2023-06-26,288.70001220703125,289.7900085449219,277.6000061035156,278.4700012207031,278.17486572265625,24232700
2023-06-27,282.010009765625,289.3500061035156,280.6499938964844,287.04998779296875,286.7457580566406,26108300
2023-06-28,284.82000732421875,289.54998779296875,284.05999755859375,285.2900085449219,284.9876403808594,16722100
2023-06-29,284.5,286.57000732421875,280.69000244140625,281.5299987792969,281.2315979003906,15395700
2023-06-30,284.760009765625,289.04998779296875,284.4200134277344,286.9800109863281,286.67584228515625,19676000
2023-07-03,286.70001220703125,289.3999938964844,284.8500061035156,286.0199890136719,285.7168273925781,8629300
2023-07-05,287.6499938964844,298.1199951171875,286.3599853515625,294.3699951171875,294.0579833984375,33865500
2023-07-06,295.8900146484375,298.1199951171875,291.30999755859375,291.989990234375,291.6805114746094,47600500
2023-07-07,292.17999267578125,296.20001220703125,288.6600036621094,290.5299987792969,290.2220764160156,25546200
2023-07-10,295.54998779296875,298.1300048828125,287.04998779296875,294.1000061035156,293.7882995605469,37058300
2023-07-11,293.8999938964844,300.17999267578125,291.8999938964844,298.2900085449219,297.9738464355469,27585900
2023-07-12,301.75,309.45001220703125,300.1000061035156,309.3399963378906,309.0121154785156,36677100
2023-07-13,313.6199951171875,316.239990234375,310.2900085449219,313.4100036621094,313.07781982421875,30281000
2023-07-14,311.7900085449219,314.8800048828125,307.3599853515625,308.8699951171875,308.5426330566406,22576000
2023-07-17,307.5400085449219,311.7099914550781,304.7099914550781,310.6199951171875,310.290771484375,25323100
2023-07-18,310.8800048828125,314.20001220703125,307.6199951171875,312.04998779296875,311.71923828125,20764600
2023-07-19,313.0299987792969,318.67999267578125,310.5199890136719,316.010009765625,315.6750793457031,21763700
2023-07-20,313.5,315.5400085449219,302.2200012207031,302.5199890136719,302.1993408203125,23836900
2023-07-21,304.57000732421875,305.4599914550781,291.20001220703125,294.260009765625,293.9481201171875,42089700
2023-07-24,295.7799987792969,297.5199890136719,288.29998779296875,291.6099853515625,291.3009033203125,24915700
2023-07-25,295.19000244140625,298.29998779296875,291.8599853515625,294.4700012207031,294.15789794921875,19585600
2023-07-26,301.19000244140625,301.7699890136719,291.8999938964844,298.57000732421875,298.2535705566406,47256900
2023-07-27,325.1199951171875,325.3500061035156,309.8399963378906,311.7099914550781,311.3796081542969,64229200
2023-07-28,316.8800048828125,326.20001220703125,314.25,325.4800109863281,325.1350402832031,39220300
2023-07-31,323.69000244140625,325.6600036621094,317.5899963378906,318.6000061035156,318.2623291015625,25799600
2023-08-01,317.5400085449219,324.1400146484375,314.6600036621094,322.7099914550781,322.3679504394531,22817900
2023-08-02,318.0,318.3900146484375,310.6499938964844,314.30999755859375,313.97686767578125,20461100
2023-08-03,309.92999267578125,315.95001220703125,309.92999267578125,313.19000244140625,312.8580627441406,15180200
2023-08-04,314.9599914550781,318.4100036621094,310.20001220703125,310.7300109863281,310.4006652832031,17600200
2023-08-07,313.2300109863281,317.07000732421875,310.4599914550781,316.55999755859375,316.2244873046875,16236500
2023-08-08,314.3999938964844,317.8900146484375,310.1099853515625,312.6400146484375,312.30865478515625,15183500
2023-08-09,312.8800048828125,313.6300048828125,302.8500061035156,305.2099914550781,304.8865051269531,19955800
2023-08-10,307.94000244140625,312.3399963378906,303.8699951171875,305.739990234375,305.41595458984375,14358900
2023-08-11,302.57000732421875,304.7200012207031,300.3599853515625,301.6400146484375,301.3203125,13967800
2023-08-14,300.9800109863281,306.2099914550781,298.25,306.19000244140625,305.865478515625,15641900
2023-08-15,306.1400146484375,307.2300109863281,300.0299987792969,301.95001220703125,301.6299743652344,11623600
2023-08-16,300.20001220703125,301.0799865722656,294.2799987792969,294.2900085449219,293.97808837890625,18547700
2023-08-17,293.04998779296875,296.04998779296875,284.95001220703125,285.0899963378906,284.787841796875,23950100
2023-08-18,279.0299987792969,285.69000244140625,274.3800048828125,283.25,282.9497985839844,34061200
2023-08-21,283.45001220703125,290.5,281.8500061035156,289.8999938964844,289.5927429199219,20181500
2023-08-22,292.54998779296875,292.8999938964844,286.75,287.6000061035156,287.2951965332031,12999900
2023-08-23,288.5,297.3999938964844,287.6700134277344,294.239990234375,293.9281311035156,18287000
2023-08-24,298.5,299.4599914550781,286.6400146484375,286.75,286.4460754394531,18360900
2023-08-25,286.1300048828125,288.3900146484375,276.0299987792969,285.5,285.1973876953125,23701400
2023-08-28,288.0,291.45001220703125,285.79998779296875,290.260009765625,289.9523620605469,14239300
2023-08-29,288.5799865722656,299.1499938964844,288.17999267578125,297.989990234375,297.6741638183594,20844500
2023-08-30,297.1700134277344,298.2900085449219,293.42999267578125,295.1000061035156,294.7872314453125,17717000
2023-08-31,295.79998779296875,301.1000061035156,295.6600036621094,295.8900146484375,295.576416015625,17229900
2023-09-01,299.3699951171875,301.739990234375,294.4700012207031,296.3800048828125,296.0658874511719,12819800
2023-09-05,297.0199890136719,301.3900146484375,295.510009765625,300.1499938964844,299.8318786621094,14956000
2023-09-06,301.7099914550781,303.29998779296875,295.6600036621094,299.1700134277344,298.8529357910156,15418100
2023-09-07,298.0,307.04998779296875,292.2200012207031,298.6700134277344,298.35345458984375,33748700
2023-09-08,299.2200012207031,305.25,296.7799987792969,297.8900146484375,297.57427978515625,17548000
2023-09-11,301.4100036621094,309.0400085449219,301.2799987792969,307.55999755859375,307.2340087890625,19489300
2023-09-12,306.3299865722656,308.6600036621094,300.2300109863281,301.6600036621094,301.34027099609375,13480400
2023-09-13,302.3599853515625,307.17999267578125,301.32000732421875,305.05999755859375,304.7366638183594,13210900
2023-09-14,306.739990234375,312.8699951171875,305.0299987792969,311.7200012207031,311.3896179199219,19343100
2023-09-15,311.6099853515625,312.0,298.75,300.30999755859375,299.99169921875,28106400
2023-09-18,298.19000244140625,303.6000061035156,297.79998779296875,302.54998779296875,302.22930908203125,14234200
2023-09-19,302.4800109863281,306.1700134277344,299.80999755859375,305.07000732421875,304.7466735839844,15924400
2023-09-20,305.04998779296875,308.05999755859375,299.42999267578125,299.6700134277344,299.3523864746094,19379500
2023-09-21,295.70001220703125,300.260009765625,293.2699890136719,295.7300109863281,295.41656494140625,21300500
2023-09-22,299.29998779296875,305.3800048828125,298.2699890136719,299.0799865722656,298.76300048828125,25369600
2023-09-25,295.6400146484375,300.95001220703125,293.70001220703125,300.8299865722656,300.5111389160156,18987000
2023-09-26,297.6600036621094,300.29998779296875,296.010009765625,298.9599914550781,298.64312744140625,19417200
2023-09-27,300.45001220703125,301.29998779296875,286.7900085449219,297.739990234375,297.4244079589844,36429800
2023-09-28,298.94000244140625,306.3299865722656,296.70001220703125,303.9599914550781,303.6378173828125,22167100
2023-09-29,307.3800048828125,310.6400146484375,299.3599853515625,300.2099914550781,299.8918151855469,25356600
2023-10-02,302.739990234375,307.17999267578125,301.6300048828125,306.82000732421875,306.49481201171875,16265600
2023-10-03,304.260009765625,306.7699890136719,299.6400146484375,300.94000244140625,300.62103271484375,17362300
2023-10-04,298.7300109863281,306.8999938964844,298.5,305.5799865722656,305.256103515625,16880500
2023-10-05,304.6300048828125,306.2099914550781,299.5,304.7900085449219,304.46697998046875,19130000
2023-10-06,301.44000244140625,316.30999755859375,300.9100036621094,315.42999267578125,315.0956726074219,21784000
2023-10-09,312.5,320.3299865722656,311.82000732421875,318.3599853515625,318.0225524902344,22503700
2023-10-10,319.1199951171875,324.6600036621094,318.1600036621094,321.8399963378906,321.4988708496094,19038000
2023-10-11,323.010009765625,328.8399963378906,322.95001220703125,327.82000732421875,327.4725646972656,22036300
2023-10-12,328.0,330.5400085449219,322.69000244140625,324.1600036621094,323.8164367675781,20530500
2023-10-13,323.5299987792969,325.04998779296875,312.3699951171875,314.69000244140625,314.3564758300781,21341000
2023-10-16,318.6400146484375,321.82000732421875,315.5199890136719,321.1499938964844,320.8096008300781,16536100
2023-10-17,318.17999267578125,324.3999938964844,317.29998779296875,324.0,323.6565856933594,16387800
2023-10-18,321.3900146484375,325.94000244140625,315.55999755859375,316.9700012207031,316.634033203125,16851000
2023-10-19,319.8800048828125,321.8900146484375,311.75,312.80999755859375,312.47845458984375,18709200
2023-10-20,314.1400146484375,315.29998779296875,306.4700012207031,308.6499938964844,308.3228454589844,22287400
2023-10-23,309.5,317.3599853515625,307.260009765625,314.010009765625,313.67718505859375,17796800
2023-10-24,316.7799987792969,318.3500061035156,310.6300048828125,312.54998779296875,312.2187194824219,19525500
2023-10-25,310.0,310.8800048828125,298.8399963378906,299.5299987792969,299.2125244140625,42192500
2023-10-26,295.0,295.0,279.3999938964844,288.3500061035156,288.04437255859375,66684100
2023-10-27,294.4800109863281,299.30999755859375,292.9700012207031,296.7300109863281,296.4154968261719,29596300
2023-10-30,299.0899963378906,309.3999938964844,299.04998779296875,302.6600036621094,302.3392028808594,28435100
2023-10-31,303.30999755859375,303.67999267578125,296.8599853515625,301.2699890136719,300.95068359375,19434200
